Location,Time,Day of Week,Number of Drinks,Number of Pastries,Total Bill,Age
Deira,Morning,Thursday,1,0,5,18
Deira,Afternoon,Friday,2,1,13,18
Deira,Afternoon,Saturday,0,0,0,18
Deira,Evening,Friday,1,0,5,19
Deira,Afternoon,Tuesday,1,0,5,19
Deira,Evening,Saturday,1,1,8,20
Deira,Afternoon,Thursday,2,0,10,22
Deira,Evening,Friday,1,1,8,22
Deira,Evening,Saturday,0,1,3,22
Deira,Afternoon,Saturday,1,1,8,22
Deira,Morning,Tuesday,0,0,0,23
Deira,Evening,Sunday,1,0,5,23
Deira,Morning,Saturday,2,0,10,23
Deira,Morning,Sunday,0,0,0,24
Deira,Morning,Friday,1,0,5,24
Deira,Morning,Sunday,0,0,0,24
Deira,Evening,Wednesday,2,0,10,24
Deira,Evening,Monday,2,0,10,25
Deira,Afternoon,Monday,1,1,8,25
Deira,Evening,Friday,1,0,5,25
Deira,Afternoon,Tuesday,1,1,8,25
Deira,Morning,Tuesday,1,1,8,25
Deira,Morning,Friday,0,1,3,26
Deira,Morning,Friday,1,0,5,26
Deira,Afternoon,Saturday,1,0,5,26
Deira,Evening,Monday,1,1,8,26
Deira,Evening,Friday,2,0,10,26
Deira,Morning,Tuesday,2,0,10,27
Deira,Morning,Wednesday,2,1,13,27
Deira,Evening,Tuesday,1,1,8,27
Deira,Morning,Friday,0,0,0,27
Deira,Evening,Sunday,2,1,13,27
Deira,Afternoon,Thursday,2,0,10,28
Deira,Morning,Thursday,1,1,8,29
Deira,Morning,Sunday,1,0,5,29
Deira,Morning,Wednesday,1,0,5,29
Deira,Morning,Tuesday,1,0,5,29
Deira,Evening,Wednesday,1,0,5,30
Deira,Afternoon,Friday,1,1,8,30
Deira,Morning,Sunday,0,1,3,30
Deira,Afternoon,Thursday,1,1,8,30
Deira,Evening,Wednesday,1,1,8,30
Deira,Morning,Wednesday,2,0,10,30
Deira,Afternoon,Thursday,2,1,13,30
Deira,Morning,Thursday,2,1,13,30
Deira,Afternoon,Sunday,1,1,8,30
Deira,Evening,Wednesday,1,1,8,30
Deira,Morning,Monday,2,1,13,30
Deira,Morning,Sunday,1,0,5,30
Deira,Afternoon,Sunday,0,0,0,30
Deira,Morning,Tuesday,1,0,5,31
Deira,Evening,Thursday,2,1,13,31
Deira,Evening,Sunday,1,0,5,31
Deira,Afternoon,Wednesday,1,1,8,31
Deira,Morning,Tuesday,2,0,10,32
Deira,Morning,Sunday,1,0,5,32
Deira,Morning,Wednesday,0,1,3,32
Deira,Afternoon,Friday,1,0,5,33
Deira,Afternoon,Thursday,1,1,8,33
Deira,Afternoon,Monday,0,0,0,33
Deira,Evening,Sunday,1,0,5,33
Deira,Morning,Tuesday,1,1,8,33
Deira,Afternoon,Monday,0,1,3,33
Deira,Evening,Tuesday,1,0,5,33
Deira,Evening,Wednesday,0,0,0,33
Deira,Evening,Saturday,2,0,10,34
Deira,Morning,Thursday,2,1,13,34
Deira,Morning,Friday,1,0,5,34
Deira,Afternoon,Thursday,1,1,8,34
Deira,Evening,Wednesday,0,0,0,34
Deira,Afternoon,Wednesday,1,0,5,34
Deira,Morning,Monday,2,0,10,34
Deira,Afternoon,Friday,1,0,5,34
Deira,Morning,Monday,0,0,0,34
Deira,Morning,Thursday,1,1,8,35
Deira,Afternoon,Sunday,2,0,10,35
Deira,Evening,Saturday,1,1,8,35
Deira,Evening,Tuesday,2,0,10,35
Deira,Evening,Friday,2,1,13,35
Deira,Afternoon,Tuesday,1,1,8,35
Deira,Afternoon,Saturday,0,1,3,36
Deira,Morning,Monday,2,0,10,36
Deira,Morning,Sunday,1,1,8,36
Deira,Afternoon,Wednesday,0,0,0,36
Deira,Morning,Thursday,0,1,3,36
Deira,Morning,Monday,1,1,8,36
Deira,Morning,Tuesday,0,0,0,36
Deira,Morning,Thursday,2,1,13,36
Deira,Morning,Tuesday,1,0,5,37
Deira,Afternoon,Wednesday,1,1,8,37
Deira,Evening,Thursday,1,1,8,37
Deira,Evening,Saturday,2,1,13,37
Deira,Afternoon,Saturday,0,1,3,37
Deira,Evening,Tuesday,0,0,0,38
Deira,Afternoon,Wednesday,0,1,3,38
Deira,Morning,Tuesday,0,0,0,38
Deira,Afternoon,Friday,1,0,5,38
Deira,Evening,Tuesday,0,0,0,39
Deira,Evening,Saturday,2,1,13,39
Deira,Morning,Sunday,1,0,5,39
Deira,Afternoon,Monday,2,0,10,39
Deira,Morning,Monday,2,0,10,39
Deira,Afternoon,Wednesday,1,0,5,39
Deira,Evening,Sunday,2,0,10,39
Deira,Evening,Friday,0,0,0,39
Deira,Afternoon,Saturday,1,0,5,39
Deira,Morning,Saturday,0,0,0,40
Deira,Morning,Thursday,0,0,0,40
Deira,Evening,Monday,2,0,10,40
Deira,Afternoon,Saturday,1,1,8,40
Deira,Evening,Sunday,0,0,0,40
Deira,Evening,Saturday,1,1,8,40
Deira,Evening,Monday,0,1,3,40
Deira,Afternoon,Monday,1,1,8,40
Deira,Morning,Wednesday,1,0,5,41
Deira,Evening,Sunday,1,1,8,41
Deira,Evening,Monday,2,1,13,41
Deira,Evening,Monday,1,0,5,41
Deira,Afternoon,Tuesday,1,0,5,41
Deira,Afternoon,Monday,1,1,8,41
Deira,Afternoon,Wednesday,2,0,10,42
Deira,Morning,Friday,1,0,5,42
Deira,Afternoon,Wednesday,1,0,5,42
Deira,Afternoon,Sunday,1,1,8,42
Deira,Evening,Thursday,2,0,10,42
Deira,Afternoon,Sunday,0,0,0,42
Deira,Morning,Tuesday,1,1,8,42
Deira,Morning,Thursday,2,1,13,42
Deira,Afternoon,Friday,2,0,10,42
Deira,Afternoon,Saturday,1,1,8,42
Deira,Afternoon,Sunday,1,0,5,42
Deira,Morning,Wednesday,0,0,0,43
Deira,Morning,Friday,1,1,8,43
Deira,Morning,Wednesday,1,1,8,43
Deira,Afternoon,Sunday,1,0,5,43
Deira,Evening,Tuesday,1,0,5,43
Deira,Evening,Wednesday,1,1,8,43
Deira,Morning,Wednesday,0,0,0,43
Deira,Evening,Monday,0,1,3,43
Deira,Afternoon,Sunday,1,0,5,44
Deira,Evening,Wednesday,2,0,10,44
Deira,Afternoon,Saturday,2,0,10,44
Deira,Afternoon,Tuesday,1,0,5,44
Deira,Morning,Saturday,1,0,5,44
Deira,Afternoon,Wednesday,1,1,8,44
Deira,Morning,Friday,0,0,0,44
Deira,Afternoon,Thursday,1,0,5,44
Deira,Morning,Thursday,2,1,13,45
Deira,Morning,Saturday,0,1,3,45
Deira,Morning,Friday,1,0,5,45
Deira,Afternoon,Friday,0,0,0,45
Deira,Afternoon,Tuesday,1,0,5,46
Deira,Morning,Tuesday,2,1,13,46
Deira,Evening,Wednesday,1,1,8,46
Deira,Evening,Saturday,1,0,5,46
Deira,Morning,Wednesday,1,1,8,46
Deira,Afternoon,Sunday,1,0,5,46
Deira,Evening,Saturday,0,0,0,46
Deira,Afternoon,Tuesday,1,1,8,46
Deira,Evening,Wednesday,1,1,8,46
Deira,Evening,Saturday,1,0,5,46
Deira,Afternoon,Friday,2,0,10,46
Deira,Morning,Thursday,0,1,3,46
Deira,Evening,Friday,1,1,8,47
Deira,Afternoon,Friday,1,0,5,47
Deira,Evening,Thursday,1,0,5,47
Deira,Evening,Thursday,1,0,5,47
Deira,Morning,Saturday,0,1,3,47
Deira,Afternoon,Thursday,0,0,0,47
Deira,Afternoon,Wednesday,1,0,5,47
Deira,Evening,Monday,1,1,8,47
Deira,Afternoon,Saturday,2,1,13,47
Deira,Afternoon,Wednesday,0,0,0,47
Deira,Evening,Tuesday,1,0,5,47
Deira,Afternoon,Sunday,1,1,8,48
Deira,Evening,Wednesday,1,0,5,48
Deira,Afternoon,Friday,1,0,5,48
Deira,Morning,Sunday,1,0,5,48
Deira,Afternoon,Monday,1,0,5,48
Deira,Evening,Monday,1,0,5,48
Deira,Evening,Friday,1,0,5,48
Deira,Morning,Wednesday,2,0,10,48
Deira,Morning,Wednesday,0,1,3,48
Deira,Morning,Friday,0,0,0,48
Deira,Afternoon,Saturday,1,0,5,48
