Location,Time,Day of Week,Number of Drinks,Number of Pastries,Total Bill,Age,Age_group
Deira,Morning,Thursday,1,0,5,18,18-24
Deira,Afternoon,Friday,2,1,13,18,18-24
Deira,Afternoon,Saturday,0,0,0,18,18-24
Deira,Evening,Friday,1,0,5,19,18-24
Deira,Afternoon,Tuesday,1,0,5,19,18-24
Deira,Evening,Saturday,1,1,8,20,18-24
Deira,Afternoon,Thursday,2,0,10,22,18-24
Deira,Evening,Friday,1,1,8,22,18-24
Deira,Evening,Saturday,0,1,3,22,18-24
Deira,Afternoon,Saturday,1,1,8,22,18-24
Deira,Morning,Tuesday,0,0,0,23,18-24
Deira,Evening,Sunday,1,0,5,23,18-24
Deira,Morning,Saturday,2,0,10,23,18-24
Deira,Morning,Sunday,0,0,0,24,25-35
Deira,Morning,Friday,1,0,5,24,25-35
Deira,Morning,Sunday,0,0,0,24,25-35
Deira,Evening,Wednesday,2,0,10,24,25-35
Deira,Evening,Monday,2,0,10,25,25-35
Deira,Afternoon,Monday,1,1,8,25,25-35
Deira,Evening,Friday,1,0,5,25,25-35
Deira,Afternoon,Tuesday,1,1,8,25,25-35
Deira,Morning,Tuesday,1,1,8,25,25-35
Deira,Morning,Friday,0,1,3,26,25-35
Deira,Morning,Friday,1,0,5,26,25-35
Deira,Afternoon,Saturday,1,0,5,26,25-35
Deira,Evening,Monday,1,1,8,26,25-35
Deira,Evening,Friday,2,0,10,26,25-35
Deira,Morning,Tuesday,2,0,10,27,25-35
Deira,Morning,Wednesday,2,1,13,27,25-35
Deira,Evening,Tuesday,1,1,8,27,25-35
Deira,Morning,Friday,0,0,0,27,25-35
Deira,Evening,Sunday,2,1,13,27,25-35
Deira,Afternoon,Thursday,2,0,10,28,25-35
Deira,Morning,Thursday,1,1,8,29,25-35
Deira,Morning,Sunday,1,0,5,29,25-35
Deira,Morning,Wednesday,1,0,5,29,25-35
Deira,Morning,Tuesday,1,0,5,29,25-35
Deira,Evening,Wednesday,1,0,5,30,25-35
Deira,Afternoon,Friday,1,1,8,30,25-35
Deira,Morning,Sunday,0,1,3,30,25-35
Deira,Afternoon,Thursday,1,1,8,30,25-35
Deira,Evening,Wednesday,1,1,8,30,25-35
Deira,Morning,Wednesday,2,0,10,30,25-35
Deira,Afternoon,Thursday,2,1,13,30,25-35
Deira,Morning,Thursday,2,1,13,30,25-35
Deira,Afternoon,Sunday,1,1,8,30,25-35
Deira,Evening,Wednesday,1,1,8,30,25-35
Deira,Morning,Monday,2,1,13,30,25-35
Deira,Morning,Sunday,1,0,5,30,25-35
Deira,Afternoon,Sunday,0,0,0,30,25-35
Deira,Morning,Tuesday,1,0,5,31,25-35
Deira,Evening,Thursday,2,1,13,31,25-35
Deira,Evening,Sunday,1,0,5,31,25-35
Deira,Afternoon,Wednesday,1,1,8,31,25-35
Deira,Morning,Tuesday,2,0,10,32,25-35
Deira,Morning,Sunday,1,0,5,32,25-35
Deira,Morning,Wednesday,0,1,3,32,25-35
Deira,Afternoon,Friday,1,0,5,33,25-35
Deira,Afternoon,Thursday,1,1,8,33,25-35
Deira,Afternoon,Monday,0,0,0,33,25-35
Deira,Evening,Sunday,1,0,5,33,25-35
Deira,Morning,Tuesday,1,1,8,33,25-35
Deira,Afternoon,Monday,0,1,3,33,25-35
Deira,Evening,Tuesday,1,0,5,33,25-35
Deira,Evening,Wednesday,0,0,0,33,25-35
Deira,Evening,Saturday,2,0,10,34,25-35
Deira,Morning,Thursday,2,1,13,34,25-35
Deira,Morning,Friday,1,0,5,34,25-35
